UX,UY,UZ,PX,PY,PZ
-1250.887316,8090.79468,6814.462064,-1226.289679,7932.035865,6868.101433
-1188.08118,7684.561802,6984.886278,-1162.993998,7522.614794,7036.130512
-1124.058732,7270.46177,7148.154425,-1098.477621,7105.29787,7196.768896
-1058.818789,6848.486925,7303.674442,-1032.741462,6680.091013,7349.409708
-992.3660939,6418.667941,7450.822521,-965.7927456,6247.040956,7493.414715
-924.7122442,5981.079838,7588.945013,-897.6459628,5806.241438,7628.116633
-855.8766742,5535.848317,7717.361388,-828.3238735,5357.839686,7752.822553
-785.8876599,5083.156265,7835.368414,-757.858525,4902.042999,7866.818682
-714.7833231,4623.250259,7942.245735,-686.2922532,4439.125227,7969.376535
