SatVenus.ElapsedSecs,SatVenus.ElapsedDays,SatVenus.VenusMJ2000Eq.X,SatVenus.VenusMJ2000Eq.Y,SatVenus.VenusMJ2000Eq.Z,SatVenus.VenusMJ2000Eq.VX,SatVenus.VenusMJ2000Eq.VY,SatVenus.VenusMJ2000Eq.VZ,SatVenus.Venus.VelApoapsis,SatVenus.Venus.VelPeriapsis,SatVenus.Venus.SMA,SatVenus.Venus.RadPer,SatVenus.Venus.ECC,SatVenus.VenusMJ2000Eq.INC,SatVenus.VenusMJ2000Eq.RAAN,SatVenus.VenusMJ2000Eq.AOP,SatVenus.Venus.OrbitPeriod,SatVenus.Venus.TA
0,0,217.4771078,-1406.651586,8072.298167,1.282806588,-8.297249948,-1.48041123,0.772157906,8.525348489,49348.744,8196.826378,0.8339,90,98.7887,100,120850.0517,0
59.99999988,0.000694444,294.1875193,-1902.817932,7974.939298,1.273759101,-8.238730399,-1.764185213,0.772157978,8.525348454,49348.73963,8196.82638,0.833899985,90,98.7887,100.0000006,120850.0356,3.573420149
255.7446414,0.002960007,539.3234854,-3488.368241,7542.088987,1.226627618,-7.933881877,-2.6437159,0.772158099,8.525348382,49348.7323,8196.826405,0.83389996,90,98.7887,100.0000029,120850.0087,15.0803126
470.5311109,0.005445962,794.9268716,-5141.622288,6881.863104,1.149903157,-7.437624657,-3.476642696,0.77215803,8.525348375,49348.73677,8196.826479,0.833899974,90,98.7887,100.0000061,120850.0251,27.08938688
698.354939,0.008082812,1045.932611,-6765.138549,6007.227018,1.051805724,-6.803126106,-4.167302241,0.772157738,8.525348437,49348.75504,8196.826621,0.833900032,90,98.7887,100.0000104,120850.0922,38.73167781
970.9059771,0.011237338,1315.773137,-8510.479047,4787.966638,0.928462642,-6.005337577,-4.736154939,0.772157141,8.525348581,49348.79235,8196.826882,0.833900153,90,98.7887,100.0000172,120850.2293,50.92632176
1223.000292,0.014155096,1535.953078,-9934.61268,3550.046469,0.819829765,-5.30269531,-5.05661311,0.772156406,8.52534876,49348.8383,8196.827201,0.833900301,90,98.7887,100.0000249,120850.3981,60.54953103
1485.516919,0.017193483,1737.524586,-11238.38614,2196.022745,0.717985298,-4.643960779,-5.237590899,0.772155511,8.52534898,49348.89422,8196.827583,0.833900481,90,98.7887,100.000034,120850.6035,69.07014819
1776.390087,0.02056007,1931.773446,-12494.79639,658.713474,0.620266207,-4.011909357,-5.31562241,0.772154421,8.525349268,49348.96222,8196.828014,0.833900701,90,98.7887,100.0000448,120850.8533,77.01754014
2109.84889,0.024419547,2122.468149,-13728.2182,-1114.600079,0.526501628,-3.405435896,-5.307026979,0.772153101,8.525349677,49349.04421,8196.828425,0.833900969,90,98.7887,100.0000574,120851.1545,84.58736468
2500.047606,0.028935736,2309.897238,-14940.51786,-3170.821081,0.437508978,-2.829827484,-5.222925311,0.772151519,8.525350313,49349.14162,8196.828647,0.833901292,89.99999999,98.7887,100.0000711,120851.5123,91.84531757
2957.027346,0.034224854,2490.259391,-16107.10827,-5525.228275,0.355268908,-2.297895054,-5.07581693,0.772149669,8.525351371,49349.25373,8196.828327,0.833901676,89.99999998,98.78869999,100.0000844,120851.9241,98.72671574
3488.661951,0.040378032,2658.612703,-17196.02496,-8172.397628,0.281356882,-1.819828782,-4.880936434,0.772147563,8.525353183,49349.37786,8196.826845,0.833902124,89.99999996,98.78869998,100.0000948,120852.3801,105.1578993
4111.886271,0.047591276,2812.47772,-18191.2307,-11142.03848,0.215505079,-1.393896376,-4.65010769,0.772145181,8.525356323,49349.51192,8196.823157,0.83390265,89.99999991,98.78869996,100.0000981,120852.8725,111.1865659
