SatVenus.ElapsedSecs,SatVenus.ElapsedDays,SatVenus.VenusMJ2000Eq.X,SatVenus.VenusMJ2000Eq.Y,SatVenus.VenusMJ2000Eq.Z,SatVenus.VenusMJ2000Eq.VX,SatVenus.VenusMJ2000Eq.VY,SatVenus.VenusMJ2000Eq.VZ,SatVenus.Venus.VelApoapsis,SatVenus.Venus.VelPeriapsis,SatVenus.Venus.SMA,SatVenus.Venus.RadPer,SatVenus.Venus.ECC,SatVenus.VenusMJ2000Eq.INC,SatVenus.VenusMJ2000Eq.RAAN,SatVenus.VenusMJ2000Eq.AOP,SatVenus.Venus.OrbitPeriod,SatVenus.Venus.TA
0,0,217.4771093,-1406.651595,8072.298166,1.282806588,-8.297249947,-1.480411235,0.772157906,8.525348489,49348.744,8196.826378,0.8339,90,98.7887,100,120850.0517,0
59.99999988,0.000694444,294.1875208,-1902.817942,7974.939296,1.273759101,-8.238730397,-1.764185218,0.772157978,8.525348454,49348.73963,8196.82638,0.833899985,90,98.7887,100.0000006,120850.0356,3.573420216
255.1915621,0.002953606,538.6450181,-3483.979884,7543.55052,1.226795344,-7.934966734,-2.641368661,0.772158099,8.525348382,49348.7323,8196.826405,0.83389996,90,98.7887,100.0000029,120850.0087,15.04837551
469.9452294,0.005439181,794.2530969,-5137.264283,6883.899403,1.150138726,-7.439148327,-3.474602155,0.77215803,8.525348375,49348.73674,8196.826479,0.833899974,90,98.7887,100.0000061,120850.025,27.05786561
697.6912896,0.008075131,1045.234482,-6760.623024,6009.992072,1.052104192,-6.805056613,-4.165587044,0.772157739,8.525348437,49348.75497,8196.82662,0.833900032,90,98.7887,100.0000104,120850.092,38.699638
970.3913249,0.011231381,1315.295243,-8507.38801,4790.403891,0.928692621,-6.006825095,-4.735317701,0.772157142,8.525348581,49348.79227,8196.826881,0.833900152,90,98.7887,100.0000172,120850.229,50.90509356
1222.503694,0.014149348,1535.545902,-9931.979048,3552.557452,0.820034277,-5.304018101,-5.056140191,0.772156408,8.525348759,49348.8382,8196.8272,0.8339003,90,98.7887,100.0000249,120850.3977,60.53203455
1484.980347,0.017187273,1737.139285,-11235.894,2198.833014,0.718180266,-4.645221836,-5.237344298,0.772155513,8.52534898,49348.8941,8196.827583,0.833900481,90,98.7887,100.000034,120850.6031,69.05413005
1775.784418,0.02055306,1931.397714,-12492.36614,661.9329565,0.620453542,-4.013121047,-5.315558367,0.772154423,8.525349268,49348.96208,8196.828013,0.833900701,90,98.7887,100.0000448,120850.8528,77.00240806
2109.14549,0.024411406,2122.097746,-13725.82241,-1110.86709,0.526680859,-3.406595173,-5.307120951,0.772153104,8.525349676,49349.04404,8196.828424,0.833900968,90,98.7887,100.0000573,120851.1538,84.57286054
2499.221502,0.028926175,2309.535741,-14938.17968,-3166.506315,0.437677203,-2.830915573,-5.223156095,0.772151523,8.525350311,49349.14142,8196.828647,0.833901292,89.99999999,98.7887,100.000071,120851.5116,91.83145265
2956.064301,0.034213707,2489.917178,-16104.89482,-5520.339877,0.3554218,-2.298883968,-5.07615603,0.772149673,8.525351369,49349.2535,8196.828328,0.833901675,89.99999998,98.78869999,100.0000844,120851.9233,98.71369366
3487.540527,0.040365052,2658.297107,-17193.98366,-8166.923796,0.281493248,-1.820710805,-4.881355499,0.772147567,8.525353178,49349.37761,8196.82685,0.833902123,89.99999996,98.78869998,100.0000948,120852.3792,105.1457469
4110.561493,0.047575943,2812.192143,-18189.38357,-11135.87781,0.215626616,-1.394682483,-4.650589069,0.772145186,8.525356315,49349.51165,8196.823168,0.833902649,89.99999991,98.78869996,100.0000981,120852.8715,111.1751065
4854.938845,0.056191422,2949.6995,-19078.78722,-14499.45378,0.156756628,-1.013908757,-4.390291496,0.772142465,8.525361812,49349.65374,8196.815435,0.833903284,89.99999983,98.78869991,100.0000882,120853.3935,116.9084575
5762.098152,0.066690951,3066.730059,-19835.74598,-18349.74573,0.104050862,-0.673005463,-4.104193751,0.772139299,8.525371515,49349.79993,8196.800344,0.833904082,89.99999969,98.78869978,100.0000546,120853.9305,122.4342142
6817.026089,0.078900765,3151.753814,-20385.68322,-22522.1171,0.059521171,-0.384985356,-3.8130122,0.772135752,8.525387458,49349.93431,8196.774086,0.833905066,89.99999945,98.78869954,99.99998578,120854.4242,127.513615
8046.462894,0.093130358,3200.569991,-20701.42807,-27025.82702,0.021916903,-0.141759141,-3.521069781,0.772131691,8.525412904,49350.04659,8196.730768,0.833906322,89.99999907,98.78869909,99.99986691,120854.8366,132.2213163
9484.809196,0.109777884,3207.99871,-20749.47669,-31875.52099,-0.009853948,0.063736346,-3.230352645,0.772126888,8.525452549,49350.12407,8196.661935,0.833907977,89.99999848,98.78869826,99.99967918,120855.1212,136.6279324
