SatVenus.ElapsedSecs,SatVenus.ElapsedDays,SatVenus.VenusMJ2000Eq.X,SatVenus.VenusMJ2000Eq.Y,SatVenus.VenusMJ2000Eq.Z,SatVenus.VenusMJ2000Eq.VX,SatVenus.VenusMJ2000Eq.VY,SatVenus.VenusMJ2000Eq.VZ,SatVenus.Venus.VelApoapsis,SatVenus.Venus.VelPeriapsis,SatVenus.Venus.SMA,SatVenus.Venus.RadPer,SatVenus.Venus.ECC,SatVenus.VenusMJ2000Eq.INC,SatVenus.VenusMJ2000Eq.RAAN,SatVenus.VenusMJ2000Eq.AOP,SatVenus.Venus.OrbitPeriod,SatVenus.Venus.TA
0,0,217.4771094,-1406.651596,8072.298165,1.282806588,-8.297249947,-1.480411236,0.772157906,8.525348489,49348.744,8196.826378,0.8339,90,98.7887,100,120850.0517,0
59.99999988,0.000694444,294.1875209,-1902.817942,7974.939296,1.273759101,-8.238730397,-1.764185219,0.772157978,8.525348454,49348.73963,8196.82638,0.833899985,90,98.7887,100.0000006,120850.0356,3.573420222
255.8864088,0.002961648,539.4973797,-3489.492997,7541.714149,1.226584597,-7.933603614,-2.64431741,0.772158099,8.525348382,49348.73229,8196.826405,0.83389996,90,98.7887,100.0000029,120850.0087,15.08849823
470.68132,0.0054477,795.0995942,-5142.739465,6881.340838,1.149842742,-7.437233893,-3.477165642,0.772158029,8.525348375,49348.73677,8196.826479,0.833899974,90,98.7887,100.0000061,120850.0251,27.09746721
698.5251154,0.008084781,1046.111598,-6766.296246,6006.517799,1.051729182,-6.802631028,-4.167741791,0.772157738,8.525348438,49348.75506,8196.826621,0.833900032,90,98.7887,100.0000104,120850.0923,38.73989187
971.0378767,0.011238864,1315.895598,-8511.271132,4787.341921,0.928403704,-6.004956363,-4.736369385,0.772157141,8.525348582,49348.79237,8196.826882,0.833900153,90,98.7887,100.0000172,120850.2294,50.9317613
1223.127574,0.014156569,1536.057425,-9935.287604,3549.402838,0.819777353,-5.302356308,-5.056734234,0.772156406,8.52534876,49348.83833,8196.827201,0.833900301,90,98.7887,100.0000249,120850.3982,60.55401469
1485.654267,0.017195073,1737.623198,-11239.02397,2195.303362,0.7179354,-4.643638036,-5.237653952,0.772155511,8.52534898,49348.89425,8196.827584,0.833900481,90,98.7887,100.000034,120850.6036,69.07424758
1776.545179,0.020561865,1931.869641,-12495.41859,657.8890549,0.620218246,-4.011599148,-5.315638753,0.77215442,8.525349268,49348.96226,8196.828014,0.833900701,90,98.7887,100.0000448,120850.8534,77.02141413
2110.02862,0.024421628,2122.562774,-13728.83023,-1115.553915,0.526455842,-3.405139756,-5.307002926,0.7721531,8.525349677,49349.04426,8196.828425,0.833900969,90,98.7887,100.0000574,120851.1546,84.59106984
2500.259019,0.028938183,2309.989729,-14941.1161,-3171.925277,0.437465938,-2.829549104,-5.222866221,0.772151518,8.525350313,49349.14168,8196.828647,0.833901293,89.99999999,98.7887,100.0000711,120851.5125,91.84886493
2957.273768,0.034227706,2490.346933,-16107.67449,-5526.479062,0.355229798,-2.297642092,-5.075730148,0.772149668,8.525351372,49349.25379,8196.828326,0.833901676,89.99999998,98.78869999,100.0000845,120851.9243,98.73004692
3488.948737,0.040381351,2658.693388,-17196.54683,-8173.797402,0.28132202,-1.819603294,-4.880829263,0.772147562,8.525353184,49349.37793,8196.826844,0.833902124,89.99999996,98.78869998,100.0000948,120852.3803,105.1610062
4112.225511,0.047595203,2812.550823,-18191.70353,-11143.61596,0.215473968,-1.393695147,-4.64998443,0.77214518,8.525356325,49349.51199,8196.823155,0.83390265,89.99999991,98.78869996,100.0000981,120852.8728,111.1894996
4856.949215,0.05621469,2950.014501,-19080.82466,-14508.27922,0.156619809,-1.0130238,-4.389618775,0.772142458,8.52536183,49349.6541,8196.815409,0.833903285,89.99999983,98.78869991,100.0000882,120853.3948,116.9222618
5764.429522,0.066717934,3066.972506,-19837.31413,-18359.31332,0.103935427,-0.672258828,-4.103502889,0.772139291,8.525371544,49349.80027,8196.800297,0.833904084,89.99999969,98.78869978,100.0000545,120853.9318,122.4468322
6819.736639,0.078932137,3151.915017,-20386.72589,-22532.45152,0.05942379,-0.384355491,-3.812316168,0.772135743,8.525387506,49349.93461,8196.774006,0.833905069,89.99999945,98.78869954,99.99998556,120854.4253,127.5252471
8049.62795,0.09316699,3200.639229,-20701.8759,-27036.9703,0.021834623,-0.141226954,-3.520374849,0.772131681,8.525412979,49350.04682,8196.730639,0.833906325,89.99999907,98.78869909,99.99986655,120854.8374,132.2321525
9488.518034,0.109820811,3207.962035,-20749.23946,-31887.50057,-0.009923424,0.064185719,-3.229662144,0.772126876,8.525452665,49350.1242,8196.661732,0.833907982,89.99999848,98.78869826,99.99967863,120855.1217,136.6381231
11176.92424,0.129362549,3167.346065,-20486.53234,-37090.06502,-0.036700436,0.23738095,-2.941194454,0.772120982,8.525513146,49350.15078,8196.555461,0.833910225,89.99999759,98.78869678,99.99939884,120855.2193,140.7994294
13162.52329,0.15234402,3070.899301,-19862.70814,-42638.13962,-0.059165464,0.382686225,-2.655312996,0.77211349,8.525603422,49350.10705,8196.39569,0.833913315,89.99999629,98.78869423,99.9990004,120855.0587,144.7628241
15498.22863,0.179377646,2909.626867,-18819.58686,-48500.05287,-0.077826554,0.5033877,-2.372182788,0.77210369,8.525735268,49349.97029,8196.161351,0.833917603,89.99999444,98.78868991,99.99845472,120854.5563,148.5644637
18198.22863,0.210627646,2677.932498,-17320.97042,-54521.55171,-0.092880713,0.600759683,-2.095852775,0.772090859,8.525920082,49349.72065,8195.832086,0.833923435,89.99999197,98.78868294,99.99774699,120853.6393,152.1814819
20898.22863,0.241877646,2412.055429,-15601.25576,-59852.76695,-0.103469931,0.669252421,-1.858725203,0.772076359,8.526136456,49349.39502,8195.446159,0.83393016,89.99998927,98.78867363,99.996984,120852.4431,155.2273298
23598.22863,0.273127646,2121.856935,-13724.22551,-64584.4612,-0.111082278,0.718490821,-1.650367985,0.772060237,8.526380644,49349.01219,8195.010442,0.833937701,89.99998647,98.78866187,99.99618972,120851.0368,157.8685528
26298.22863,0.304377646,1814.087012,-11733.53847,-68784.31539,-0.116599899,0.754180609,-1.463813426,0.77204261,8.526648686,49348.58759,8194.53214,0.833945964,89.99998372,98.78864762,99.99538399,120849.4771,160.2112234
28998.22863,0.335627646,1493.59789,-9660.578624,-72504.2576,-0.120577643,0.779910564,-1.294195567,0.77202364,8.526936541,49348.13417,8194.018563,0.833954845,89.99998116,98.78863088,99.99458308,120847.8116,162.3268392
31698.22863,0.366877646,1164.021556,-7528.837439,-75785.01426,-0.123380721,0.798042858,-1.137987575,0.772003522,8.527240173,49347.66296,8193.476987,0.833964235,89.99997892,98.78861175,99.99380009,120846.0807,164.2658249
34398.22863,0.398127646,828.1729554,-5356.521753,-78659.06685,-0.125258086,0.81018772,-0.992551015,0.771982466,8.527555608,49347.18351,8192.914553,0.833974019,89.99997712,98.78859036,99.99304541,120844.3195,166.0651014
37098.22863,0.429377646,488.3027263,-3158.188519,-81152.64513,-0.126384006,0.817472299,-0.855856758,0.771960692,8.527878975,49346.70417,8192.338202,0.833984086,89.99997586,98.78856691,99.99232701,120842.5588,167.7525842
39798.22863,0.460627646,146.262721,-945.8153792,-83287.11255,-0.126882792,0.82070061,-0.726305124,0.771938423,8.528206538,49346.23231,8191.754623,0.833994325,89.99997523,98.78854165,99.99165074,120840.8255,169.3499886
42498.22863,0.491877646,-196.381358,1270.470783,-85079.9532,-0.126844102,0.820452542,-0.602605848,0.771915881,8.528534714,49345.77448,8191.170216,0.834004627,89.99997528,98.78851484,99.99102055,120839.1438,170.8746533
45198.22863,0.523127646,-538.2705575,3481.880272,-86545.4891,-0.126332725,0.817147129,-0.483695421,0.771893282,8.528860098,49345.33653,8190.591063,0.834014891,89.99997607,98.7884868,99.99043872,120837.5351,172.3407679
47898.22863,0.554377646,-878.1947654,5680.586029,-87695.40891,-0.125394984,0.811083964,-0.368678502,0.771870835,8.529179472,49344.92376,8190.022901,0.834025017,89.99997761,98.78845789,99.98990601,120836.0189,173.7602287
50598.22863,0.585627646,-1215.048982,7859.440786,-88539.16149,-0.124062992,0.802470714,-0.256785203,0.771848739,8.529489818,49344.54091,8189.471104,0.834034911,89.99997989,98.78842845,99.98942186,120834.6126,175.1432537
53298.22863,0.616877646,-1547.799038,10011.75531,-89084.24939,-0.122357482,0.791441462,-0.147339045,0.77182718,8.529788335,49344.19228,8188.940664,0.834044489,89.9999829,98.78839888,99.98898449,120833.332,176.49884
55998.22863,0.648127646,-1875.453565,12131.11714,-89336.44624,-0.120289671,0.77806871,-0.03973217,0.77180633,8.530072441,49343.88176,8188.436168,0.834053668,89.99998658,98.78836958,99.98859104,120832.1914,177.8351168
58698.22863,0.679377646,-2197.039979,14211.2352,-89299.95431,-0.117862398,0.762370795,0.066594525,0.771786346,8.530339793,49343.61286,8187.961787,0.834062378,89.99999086,98.78834093,99.98823773,120831.2037,179.1596282
61398.22863,0.710627646,-2511.582783,16245.79948,-88977.51319,-0.115070725,0.744315735,0.172167984,0.77176737,8.530588287,49343.38875,8187.521257,0.834070552,89.99999562,98.78831334,99.98791991,120830.3805,180.4795732
64098.22863,0.741877646,-2818.082843,18228.34697,-88370.46659,-0.111902065,0.723822085,0.277497535,0.771749522,8.530816079,49343.21224,8187.117857,0.834078134,90.00000076,98.78828721,99.98763223,120829.7322,181.8020203
66798.22863,0.773127646,-3115.496427,20152.12611,-87478.79161,-0.108335885,0.700756988,0.383088375,0.771732908,8.531021588,49343.08584,8186.754395,0.834085075,90.00000612,98.78826291,99.9873687,120829.2679,183.1341133
69498.22863,0.804377646,-3402.712843,22009.9521,-86301.09197,-0.104342952,0.674931316,0.489454861,0.77171761,8.531203512,49343.01174,8186.433186,0.834091335,90.00001155,98.78824079,99.98712286,120828.9957,184.4832815
72198.22863,0.835627646,-3678.529365,23794.04476,-84834.55473,-0.099884067,0.646091488,0.597134442,0.771703691,8.53136084,49342.99179,8186.156025,0.834096885,90.00001685,98.78822118,99.98688782,120828.9224,185.8574711
74898.22863,0.866877646,-3941.621922,25495.83887,-83074.86744,-0.094908161,0.613907131,0.706703171,0.77169119,8.531492866,49343.02751,8185.92417,0.834101704,90.00002184,98.78820439,99.98665642,120829.0536,187.2654146
77598.22863,0.898127646,-4190.509541,27105.75426,-81016.09016,-0.089349537,0.577953258,0.818793897,0.771680124,8.531599208,49343.12005,8185.738305,0.834105782,90.00002629,98.78819065,99.98642139,120829.3936,188.7169613
80298.22863,0.929377646,-4423.50986,28612.90799,-78650.47301,-0.083123936,0.537684815,0.934118609,0.771670485,8.53167982,49343.27018,8185.598516,0.83410912,90.00002998,98.78818016,99.98617541,120829.945,190.2235018
82998.22863,0.960627646,-4638.681862,30004.74393,-75968.20572,-0.076122901,0.492400224,1.053496954,0.771662239,8.531735018,49343.4782,8185.504247,0.83411173,90.00003269,98.78817307,99.98591138,120830.7091,191.7985333
85698.22863,0.991877646,-4833.750197,31266.54328,-72957.07858,-0.0682056,0.441188503,1.177893863,0.771655327,8.531765499,49343.7439,8185.454266,0.834113636,90.0000342,98.78816944,99.9856225,120831.685,193.4584392
88398.22863,1.023127646,-5006.002544,32380.76065,-69602.02486,-0.059186737,0.382851051,1.308470696,0.771649662,8.53177237,49344.06644,8185.446612,0.834114875,90.00003427,98.78816925,99.98530259,120832.8698,195.2235984
91098.22863,1.054377646,-5152.146563,33326.09878,-65884.49948,-0.048818209,0.315783005,1.446656735,0.771645128,8.53175718,49344.44422,8185.47854,0.834115498,90.00003271,98.78817241,99.98494635,120834.2575,197.1200162
93798.22863,1.085627646,-5268.104554,34076.18032,-61781.62568,-0.036760398,0.237787557,1.594251898,0.771641583,8.531721951,49344.87468,8185.546455,0.834115569,90.00002934,98.7881787,99.98454966,120835.8386,199.1818099
